ScriptFolder=G:\,,,,,,,,,,,,,,,,,,,,,,,,,,,
MapFile=G:\MAP\SDR875_SoC_PTE_Script_Map_CA_RF_WMSS-STGDC_subset.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note:,FreqOverride(MHz);FreqMode(A=AbsoluteB=BypassR=RelativetoMain);BlockName(AutoRX#TX#FBRX#GPS);Item(FreqOverrideetc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
Main_Script,Delta_Script(+),PLLtoMeas,RX0_Freq_Override,RX0_Freq_Mode,RX1_Freq_Override,RX1_Freq_Mode,RX2_Freq_Override,RX2_Freq_Mode,RX3_Freq_Override,RX3_Freq_Mode,RX4_Freq_Override,RX4_Freq_Mode,RX5_Freq_Override,RX5_Freq_Mode,RX6_Freq_Override,RX6_Freq_Mode,TX0_Freq_Override,TX0_Freq_Mode,TX1_Freq_Override,TX1_Freq_Mode,TX2_Freq_Override,TX2_Freq_Mode,GPS0_Freq_Override,GPS0_Freq_Mode,GPS1_Freq_Override,GPS1_Freq_Mode,ExportedScriptName
spur_idx_06386_8A-41A-41A_01-00-00_1-1-1_1-0-0_ps1_opt_opt001_subbandopt0,,,,B,,B,,B,927.5,A,,B,2647.56,A,,B,882.5,A,,B,,B,,B,,B,SP_4DL1UL_T23254_F19343_V110.csv
spur_idx_06386_8A-41A-41A_01-00-00_1-1-1_1-0-0_ps1_opt_opt001_subbandopt0,,,,B,,B,,B,927.5,A,,B,2647.56,A,,B,882.5,A,,B,,B,,B,,B,SP_4DL1UL_T23255_F19343_V110.csv
spur_idx_03194_n20A-n40A_01-02_1-1_1-0_ps1_opt_opt001,,,,B,,B,,B,799.18,A,,B,,B,,B,840.18,A,2397.48,A,,B,,B,,B,SP_4DL2UL_T46_F18925_V110.csv
spur_idx_03194_n20A-n40A_01-02_1-1_1-0_ps1_opt_opt001,,,,B,,B,,B,799.18,A,,B,,B,,B,840.18,A,2397.48,A,,B,,B,,B,SP_4DL2UL_T47_F18925_V110.csv
spur_idx_11401_n1A-n3B-n7A_00-02-00_1-1-1_0-2-0_ps1_opt_opt001,,,,B,,B,,B,1807.5,A,2112.54,A,,B,2640.66,A,,B,1712.5,A,,B,,B,,B,SP_6DL1UL_T92392_F19566_V110.csv
spur_idx_11401_n1A-n3B-n7A_00-02-00_1-1-1_0-2-0_ps1_opt_opt001,,,,B,,B,,B,1807.5,A,2112.54,A,,B,2640.66,A,,B,1712.5,A,,B,,B,,B,SP_6DL1UL_T90576_F19352_V110.csv
spur_idx_07445_n7A-n20A-n77A_00-01-00_1-1-1_0-1-0_ps1_opt_opt001_subbandopt2,,,,B,,B,,B,793.5,A,2622.5,A,,B,3933.72,A,834.5,A,,B,,B,,B,,B,SP_6DL1UL_T46683_F19567_V110.csv
spur_idx_02252_n7A-n28A-n77A_02-00-00_1-1-1_2-0-0_ps1_opt_opt001_subbandopt2,,,,B,,B,,B,760.5,A,2622.5,A,3933.72,A,,B,,B,2502.5,A,,B,,B,,B,SP_6DL1UL_T75442_F19569_V110.csv
spur_idx_07450_n7A-n28A-n77A_02-00-00_1-1-1_2-0-0_ps1_opt_opt001_subbandopt2,,,,B,,B,,B,760.5,A,2622.5,A,,B,3933.72,A,,B,2502.5,A,,B,,B,,B,SP_6DL1UL_T60730_F19567_V110.csv
spur_idx_02253_n7A-n28A-n77A_00-01-00_1-1-1_0-1-0_ps1_opt_opt001_subbandopt2,,,,B,,B,,B,760.5,A,2622.5,A,3933.72,A,,B,705.5,A,,B,,B,,B,,B,SP_6DL1UL_T6353_F19171_V110.csv
spur_idx_07451_n7A-n28A-n77A_00-01-00_1-1-1_0-1-0_ps1_opt_opt001_subbandopt2,,,,B,,B,,B,760.5,A,2622.5,A,,B,3933.72,A,705.5,A,,B,,B,,B,,B,SP_6DL1UL_T79229_F19351_V110.csv
spur_idx_07456_n7A-n77A-n78A_02-00-00_1-1-1_2-0-0_ps1_opt_opt001_subbandopt4,,,,B,,B,,B,2631.66,A,,B,3947.46,A,3302.5,A,,B,2511.66,A,,B,,B,,B,SP_6DL1UL_T84233_F19351_V110.csv
spur_idx_06392_1A-3C-41C_00-02-00_1-1-1_0-2-0_ps1_opt_opt001_subbandopt0,,,,B,,B,,B,1807.5,A,2112.54,A,,B,2640.66,A,,B,1712.5,A,,B,,B,,B,SP_6DL1UL_T33671_F19568_V110.csv
spur_idx_05350_n8A-n41A-n78A_01-00-00_1-1-1_1-0-0_ps1_opt_opt001_subbandopt0,,,,B,,B,,B,927.5,A,3331.38,A,,B,2498.52,A,882.5,A,,B,,B,,B,,B,SP_6DL1UL_T6547_F19220_V110.csv
